QNMinimizer called on double function of 98572 variables, using M = 15.
          An explanation of the output:               
Iter           The number of iterations
evals          The number of function evaluations
SCALING        <D> Diagonal scaling was used
               <I> Scaled Identity
LINESEARCH     [## M steplength]  Minpack linesearch
                   1-Function value was too high
                   2-Value ok, gradient positive, positive curvature
                   3-Value ok, gradient negative, positive curvature
                   4-Value ok, gradient negative, negative curvature
               [.. B]  Backtracking
VALUE          The current function value
TIME           Total elapsed time
|GNORM|        The current norm of the gradient
{RELNORM}      The ratio of the current to initial gradient norms
AVEIMPROVE     The average improvement / current value

Iter ## evals ## <SCALING> [LINESEARCH] VALUE TIME |GNORM| {RELNORM} AVEIMPROVE

Iter 72 evals 111 <D> [M 1,000E0] 8,525E2 72,51s |1,051E1| {8,070E-5} 1,419E-3 
Iter 73 evals 112 <D> [M 1,000E0] 8,519E2 73,21s |9,075E0| {6,967E-5} 1,164E-3 
Iter 74 evals 113 <D> [M 1,000E0] 8,502E2 73,89s |6,749E0| {5,181E-5} 1,062E-3 
Iter 75 evals 114 <D> [M 1,000E0] 8,495E2 74,57s |4,269E0| {3,278E-5} 9,287E-4 
Iter 76 evals 115 <D> [M 1,000E0] 8,488E2 75,28s |2,870E0| {2,203E-5} 8,892E-4 
Iter 77 evals 116 <D> [M 1,000E0] 8,483E2 75,94s |4,121E0| {3,164E-5} 8,743E-4 
Iter 78 evals 117 <D> [M 1,000E0] 8,479E2 76,60s |2,364E0| {1,815E-5} 8,190E-4 
Iter 79 evals 118 <D> [M 1,000E0] 8,476E2 77,28s |2,496E0| {1,917E-5} 7,666E-4 
Iter 80 evals 119 <D> [M 1,000E0] 8,473E2 77,97s |1,341E0| {1,029E-5} 6,867E-4 
Iter 81 evals 120 <D> [M 1,000E0] 8,471E2 78,64s |2,177E0| {1,671E-5} 5,818E-4 
Iter 82 evals 121 <D> [M 1,000E0] 8,468E2 79,35s |3,669E0| {2,817E-5} 5,424E-4 
Iter 83 evals 122 <D> [M 1,000E0] 8,466E2 80,04s |6,779E0| {5,204E-5} 3,808E-4 
Iter 84 evals 123 <D> [M 1,000E0] 8,463E2 80,75s |3,549E0| {2,725E-5} 3,426E-4 
Iter 85 evals 124 <D> [M 1,000E0] 8,462E2 81,42s |2,674E0| {2,053E-5} 2,833E-4 
Iter 86 evals 125 <D> [M 1,000E0] 8,460E2 82,06s |4,584E0| {3,520E-5} 2,464E-4 
Iter 87 evals 126 <D> [M 1,000E0] 8,458E2 82,78s |8,491E0| {6,519E-5} 2,238E-4 
Iter 88 evals 127 <D> [M 1,000E0] 8,456E2 83,50s |1,567E0| {1,203E-5} 2,190E-4 
Iter 89 evals 128 <D> [M 1,000E0] 8,455E2 84,25s |9,068E-1| {6,961E-6} 1,949E-4 
Iter 90 evals 129 <D> [M 1,000E0] 8,454E2 84,84s |8,525E-1| {6,545E-6} 1,765E-4 
Iter 91 evals 130 <D> [M 1,000E0] 8,454E2 85,47s |5,286E0| {4,058E-5} 1,506E-4 
Iter 92 evals 131 <D> [M 1,000E0] 8,453E2 86,12s |7,976E-1| {6,123E-6} 1,439E-4 
Iter 93 evals 132 <D> [M 1,000E0] 8,452E2 86,82s |7,352E-1| {5,644E-6} 1,195E-4 
Iter 94 evals 133 <D> [M 1,000E0] 8,451E2 87,52s |3,962E0| {3,042E-5} 1,138E-4 
Iter 95 evals 134 <D> [M 1,000E0] 8,451E2 88,20s
QNMinimizer terminated due to average improvement: | newest_val - previous_val | / |newestVal| < TOL 
Total time spent in optimization: 88,20s

precision = 0.9424242424242424
recall = 0.6790393013100436
F1 = 0.7893401015228426
